+-------+------+---------+-------+
| month | year | borough | count |
+-------+------+---------+-------+
| 7     | 2016 | Q       | 3515  |
| 5     | 2016 | S       | 611   |
| 3     | 2016 | M       | 3486  |
| 7     | 2016 | M       | 3057  |
| 1     | 2016 | S       | 614   |
| 3     | 2016 | Q       | 3710  |
| 12    | 2017 | Q       | 3452  |
| 8     | 2017 | M       | 2533  |
| 12    | 2017 | M       | 2701  |
| 8     | 2017 | Q       | 3129  |
| 10    | 2017 | S       | 513   |
| 2     | 2017 | Q       | 2751  |
| 6     | 2017 | M       | 2987  |
| 2     | 2017 | M       | 2154  |
| 4     | 2017 | S       | 500   |
| 6     | 2017 | Q       | 3458  |
| 11    | 2016 | S       | 534   |
| 9     | 2016 | Q       | 3334  |
| 9     | 2016 | M       | 2745  |
| 9     | 2016 | B       | 1777  |
| 11    | 2017 | K       | 3849  |
| 4     | 2016 | K       | 4440  |
| 6     | 2017 | B       | 2014  |
| 2     | 2017 | B       | 1601  |
| 10    | 2016 | K       | 3716  |
| 8     | 2017 | B       | 1633  |
| 12    | 2017 | B       | 1855  |
| 3     | 2016 | B       | 1838  |
| 1     | 2017 | K       | 3484  |
| 7     | 2016 | B       | 1943  |
| 5     | 2017 | K       | 4192  |
| 12    | 2016 | K       | 3672  |
| 8     | 2016 | K       | 3720  |
| 10    | 2017 | B       | 1656  |
| 5     | 2016 | B       | 2010  |
| 7     | 2017 | K       | 3899  |
| 1     | 2016 | B       | 1878  |
| 3     | 2017 | K       | 3884  |
| 11    | 2016 | B       | 1642  |
| 9     | 2017 | K       | 3490  |
| 2     | 2016 | K       | 3762  |
| 6     | 2016 | K       | 3819  |
| 4     | 2017 | B       | 1737  |
| 6     | 2017 | S       | 586   |
| 4     | 2017 | Q       | 2864  |
| 2     | 2017 | S       | 477   |
| 4     | 2017 | M       | 2641  |
| 11    | 2016 | M       | 2840  |
| 9     | 2016 | S       | 533   |
| 11    | 2016 | Q       | 3256  |
| 5     | 2016 | M       | 3437  |
| 3     | 2016 | S       | 560   |
| 1     | 2016 | Q       | 3853  |
| 5     | 2016 | Q       | 3751  |
| 7     | 2016 | S       | 568   |
| 1     | 2016 | M       | 3178  |
| 10    | 2017 | Q       | 3257  |
| 8     | 2017 | S       | 483   |
| 12    | 2017 | S       | 580   |
| 10    | 2017 | M       | 2590  |
| 11    | 2016 | K       | 3736  |
| 9     | 2017 | B       | 1588  |
| 2     | 2016 | B       | 1644  |
| 6     | 2016 | B       | 1751  |
| 4     | 2017 | K       | 3478  |
| 12    | 2016 | B       | 1743  |
| 8     | 2016 | B       | 1796  |
| 10    | 2017 | K       | 3524  |
| 5     | 2016 | K       | 4390  |
| 7     | 2017 | B       | 1790  |
| 1     | 2016 | K       | 4430  |
| 3     | 2017 | B       | 1888  |
| 3     | 2017 | Q       | 3287  |
| 1     | 2017 | S       | 525   |
| 7     | 2017 | M       | 2659  |
| 3     | 2017 | M       | 2671  |
| 5     | 2017 | S       | 524   |
| 7     | 2017 | Q       | 3406  |
| 10    | 2016 | S       | 581   |
| 8     | 2016 | Q       | 3367  |
| 12    | 2016 | M       | 2637  |
| 8     | 2016 | M       | 2845  |
| 12    | 2016 | Q       | 3352  |
| 6     | 2016 | Q       | 3400  |
| 4     | 2016 | S       | 522   |
| 2     | 2016 | M       | 3196  |
| 6     | 2016 | M       | 2966  |
| 2     | 2016 | Q       | 3050  |
| 9     | 2017 | M       | 2640  |
| 9     | 2017 | Q       | 3012  |
| 11    | 2017 | S       | 512   |
| 4     | 2016 | M       | 3550  |
| 2     | 2016 | S       | 521   |
| 4     | 2016 | Q       | 3585  |
| 6     | 2016 | S       | 584   |
| 11    | 2017 | Q       | 3324  |
| 9     | 2017 | S       | 476   |
| 11    | 2017 | M       | 2684  |
| 1     | 2017 | M       | 2321  |
| 7     | 2017 | S       | 531   |
| 5     | 2017 | Q       | 3446  |
| 1     | 2017 | Q       | 3002  |
| 3     | 2017 | S       | 507   |
| 5     | 2017 | M       | 2930  |
| 10    | 2016 | M       | 2834  |
| 12    | 2016 | S       | 575   |
| 8     | 2016 | S       | 518   |
| 10    | 2016 | Q       | 3384  |
| 10    | 2016 | B       | 1719  |
| 8     | 2017 | K       | 3493  |
| 12    | 2017 | K       | 3915  |
| 3     | 2016 | K       | 4412  |
| 1     | 2017 | B       | 1680  |
| 7     | 2016 | K       | 3907  |
| 5     | 2017 | B       | 2012  |
| 9     | 2016 | K       | 3699  |
| 11    | 2017 | B       | 1743  |
| 4     | 2016 | B       | 1965  |
| 6     | 2017 | K       | 4335  |
| 2     | 2017 | K       | 3129  |
+-------+------+---------+-------+
