+-------+------+----------+-------+
| month | year | borrough | count |
+-------+------+----------+-------+
| 1     | 2016 | S        | 8804  |
| 10    | 2017 | S        | 8702  |
| 2     | 2017 | M        | 68693 |
| 4     | 2017 | S        | 9182  |
| 6     | 2017 | Q        | 62109 |
| 11    | 2017 | K        | 55652 |
| 6     | 2017 | B        | 32321 |
| 2     | 2017 | B        | 31485 |
| 10    | 2016 | K        | 55745 |
| 8     | 2017 | B        | 30092 |
| 3     | 2016 | B        | 26139 |
| 12    | 2016 | K        | 54624 |
| 8     | 2016 | K        | 61214 |
| 10    | 2017 | B        | 30811 |
| 5     | 2016 | B        | 28263 |
| 1     | 2016 | B        | 32413 |
| 2     | 2016 | K        | 62412 |
| 4     | 2017 | Q        | 55731 |
| 3     | 2016 | S        | 7774  |
| 10    | 2017 | Q        | 53896 |
| 11    | 2016 | K        | 53856 |
| 2     | 2016 | B        | 28762 |
| 10    | 2017 | K        | 59013 |
| 5     | 2016 | K        | 58779 |
| 3     | 2017 | B        | 36359 |
| 6     | 2016 | Q        | 50496 |
| 4     | 2016 | S        | 8276  |
| 2     | 2016 | M        | 61609 |
| 2     | 2016 | Q        | 55746 |
| 9     | 2017 | Q        | 48011 |
| 4     | 2016 | M        | 51750 |
| 2     | 2016 | S        | 8957  |
| 11    | 2017 | Q        | 50666 |
| 9     | 2017 | S        | 8150  |
| 10    | 2016 | Q        | 48450 |
| 1     | 2017 | B        | 33092 |
| 5     | 2017 | B        | 29884 |
| 11    | 2017 | B        | 29017 |
| 2     | 2017 | K        | 67205 |
| 5     | 2016 | S        | 9480  |
| 3     | 2016 | M        | 56021 |
| 6     | 2017 | M        | 72056 |
| 4     | 2016 | K        | 50364 |
| 12    | 2017 | B        | 25977 |
| 1     | 2017 | K        | 64262 |
| 7     | 2016 | B        | 27391 |
| 5     | 2017 | K        | 59061 |
| 7     | 2017 | K        | 57144 |
| 3     | 2017 | K        | 75841 |
| 9     | 2017 | K        | 54570 |
| 4     | 2017 | B        | 31040 |
| 6     | 2017 | S        | 10035 |
| 4     | 2017 | M        | 68230 |
| 11    | 2016 | M        | 49776 |
| 11    | 2016 | Q        | 44512 |
| 5     | 2016 | Q        | 51137 |
| 7     | 2016 | S        | 8774  |
| 12    | 2017 | S        | 7159  |
| 8     | 2016 | B        | 27826 |
| 1     | 2016 | K        | 64293 |
| 1     | 2017 | S        | 8749  |
| 7     | 2017 | M        | 65853 |
| 3     | 2017 | M        | 76939 |
| 5     | 2017 | S        | 9785  |
| 9     | 2017 | M        | 60167 |
| 11    | 2017 | S        | 7880  |
| 11    | 2017 | M        | 64853 |
| 1     | 2017 | M        | 66665 |
| 1     | 2017 | Q        | 58971 |
| 5     | 2017 | M        | 60642 |
| 10    | 2016 | M        | 56002 |
| 12    | 2016 | S        | 7602  |
| 8     | 2016 | S        | 8510  |
| 8     | 2017 | K        | 59089 |
| 4     | 2016 | B        | 24847 |
| 7     | 2016 | Q        | 55132 |
| 7     | 2016 | M        | 59779 |
| 3     | 2016 | Q        | 48884 |
| 12    | 2017 | Q        | 45240 |
| 8     | 2017 | M        | 68694 |
| 12    | 2017 | M        | 57266 |
| 8     | 2017 | Q        | 55002 |
| 2     | 2017 | Q        | 55379 |
| 11    | 2016 | S        | 8925  |
| 9     | 2016 | Q        | 49633 |
| 9     | 2016 | M        | 54135 |
| 9     | 2016 | B        | 27447 |
| 11    | 2016 | B        | 25507 |
| 6     | 2016 | K        | 58414 |
| 2     | 2017 | S        | 9286  |
| 9     | 2016 | S        | 8698  |
| 5     | 2016 | M        | 54915 |
| 1     | 2016 | Q        | 59939 |
| 1     | 2016 | M        | 66283 |
| 8     | 2017 | S        | 8636  |
| 10    | 2017 | M        | 68991 |
| 9     | 2017 | B        | 27116 |
| 6     | 2016 | B        | 27610 |
| 4     | 2017 | K        | 62425 |
| 12    | 2016 | B        | 28009 |
| 7     | 2017 | B        | 29390 |
| 3     | 2017 | Q        | 65371 |
| 7     | 2017 | Q        | 52645 |
| 10    | 2016 | S        | 9244  |
| 8     | 2016 | Q        | 50675 |
| 12    | 2016 | M        | 54604 |
| 8     | 2016 | M        | 56368 |
| 12    | 2016 | Q        | 49285 |
| 6     | 2016 | M        | 56294 |
| 4     | 2016 | Q        | 43141 |
| 6     | 2016 | S        | 8808  |
| 7     | 2017 | S        | 8523  |
| 5     | 2017 | Q        | 53883 |
| 3     | 2017 | S        | 10925 |
| 10    | 2016 | B        | 26783 |
| 12    | 2017 | K        | 50096 |
| 3     | 2016 | K        | 57654 |
| 7     | 2016 | K        | 60108 |
| 9     | 2016 | K        | 59974 |
| 6     | 2017 | K        | 69139 |
+-------+------+----------+-------+
